Property No. ,Type of Access (X2),Neighbourhood Status (X3),Building Condition (X4),Type of Walls (X5),Type of Wall finish (X6),Type of Floor Finish (X7),Type of Ceiling (X8),NWSC Availabilty (X9),Hydro Power Availabilty (X10),Type of Saniation Facility (X11),Availabilty of Parking Space (X12),Type of Security (X13),Type of Boundary Wall (X14),Occupency Type ,Carpet Area ,Usage Type,Usage SubType,ALV,RV,Property Tax,Avg. Property Rate (per SQM)
P117003257,Main Road,MIDDLE CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,14.8,INSTITUTIONAL,Residentialbuilding,501428.5714,351000,21060,1422.97
P117003258,Main Road,MIDDLE CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,9,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,2340.00
P117003264,Main Road,MIDDLE CLASS,FAIR,TIMBER,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,12.5,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,1684.80
P117003266,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,223,RESIDENTIALRENTED,Apartment,18000000,14040000,842400,3777.58
P117003267,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,202.94,RESIDENTIALRENTED,Apartment,18000000,14040000,842400,4150.98
P117003268,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,28.2,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,1493.62
P117003270,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,7.5,COMMERCIAL,Retail_Space,601714.2857,421200,25272,3369.60
P117003271,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,28.5,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,1477.89
P117003272,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,45.23,COMMERCIAL,Retail_Space,2507142.857,1755000,105300,2328.10
P117003275,Main Road,MIDDLE CLASS,FAIR,IRON SHEETS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,21.85,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,963.84
P117003279,Main Road,MIDDLE CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,NONE,RENTED,19.22,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,1095.73
P117003280,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,223,RESIDENTIALRENTED,Apartment,18000000,14040000,842400,3777.58
P117003282,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,223,RESIDENTIALRENTED,Apartment,18000000,14040000,842400,3777.58
P117003283,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,202.94,RESIDENTIALRENTED,Apartment,18000000,14040000,842400,4150.98
P117003285,Main Road,MIDDLE CLASS,FAIR,TIMBER,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,9,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,2340.00
P117003287,Main Road,MIDDLE CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,19,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,1108.42
P117003288,Main Road,MIDDLE CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,NONE,RENTED,18.15,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,1160.33
P117003290,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,22.15,RESIDENTIALRENTED,TenementMuzigo,900000,702000,42120,1901.58
P117003291,Main Road,MIDDLE CLASS,FAIR,IRON SHEETS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,12,COMMERCIAL,Kiosk,501428.5714,351000,21060,1755.00
P117003294,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,14,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,1504.29
P117003295,Main Road,MIDDLE CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,15,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,1404.00
P117003297,Main Road,HIGH CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,11.2,COMMERCIAL,Restaurant,501428.5714,351000,21060,1880.36
P117003298,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,84.5,INSTITUTIONAL,Classroom_Lecture_rooms,3008571.429,2106000,126360,1495.38
P117003299,Main Road,HIGH CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,7.5,INSTITUTIONAL,Residentialbuilding,501428.5714,351000,21060,2808.00
P117003300,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,30,INSTITUTIONAL,Residentialbuilding,2005714.286,1404000,84240,2808.00
P117003302,Main Road,HIGH CLASS,POOR,IRON SHEETS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,12,INSTITUTIONAL,Residentialbuilding,501428.5714,351000,21060,1755.00
P117003311,Main Road,MIDDLE CLASS,POOR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,221.79,RESIDENTIALRENTED,TenementMuzigo,12790457.69,9976557,598593.42,2698.92
P117003312,Main Road,MIDDLE CLASS,POOR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,149.58,RESIDENTIALRENTED,TenementMuzigo,8626162.821,6728407,403704.42,2698.92
P117003324,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,16.4,INSTITUTIONAL,Residentialbuilding,501428.5714,351000,21060,1284.15
P117003325,Main Road,MIDDLE CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,18.36,INSTITUTIONAL,Residentialbuilding,501428.5714,351000,21060,1147.06
P117003329,Main Road,MIDDLE CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,12,INSTITUTIONAL,Residentialbuilding,501428.5714,351000,21060,1755.00
P117003330,Main Road,HIGH CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,NONE,RENTED,17.5,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,1203.43
P117003331,Side Road,MIDDLE CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,58.8,RESIDENTIALRENTED,TenementMuzigo,2250000,1755000,105300,1790.82
P117003332,Main Road,MIDDLE CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,9.89,RESIDENTIALRENTED,TenementMuzigo,450000,351000,21060,2129.42
P117003335,Main Road,MIDDLE CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,35.97,RESIDENTIALRENTED,TenementMuzigo,1350000,1053000,63180,1756.46
P117003336,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,NONE,RENTED,358.48,INSTITUTIONAL,Office,18428740,12900118,774007.08,2159.14
P117003337,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,NONE,RENTED,52.5,INSTITUTIONAL,Office_Classroom_Lectureroom,1782144.286,1247501,74850.06,1425.72
P117003340,Main Road,MIDDLE CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,37.23,INSTITUTIONAL,Residentialbuilding,1002857.143,702000,42120,1131.35
P117003341,Main Road,MIDDLE CLASS,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,70.81,INSTITUTIONAL,Residentialbuilding,501428.5714,351000,21060,297.42
P117003342,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,64,INSTITUTIONAL,Office,1002857.143,702000,42120,658.13
P117003343,Main Road,MIDDLE CLASS,FAIR,METALLIC SHEETING,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,4.4,COMMERCIAL,Retail_Space,501428.5714,351000,21060,4786.36
P117003344,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,945.56,INSTITUTIONAL,Residentialbuilding,21661714.29,15163200,909792,962.17
P117003345,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,23.8,INSTITUTIONAL,Residentialbuilding,601714.2857,421200,25272,1061.85
P117003347,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,35,INSTITUTIONAL,Residentialbuilding,2406857.143,1684800,101088,2888.23
P117003348,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,331.34,INSTITUTIONAL,Office,42583817.14,29808672,1788520.32,5397.84
P117003349,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,35.4,RESIDENTIALRENTED,Mainbuilding,1350000,1053000,63180,1784.75
P117003350,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,WALL,RENTED,45.05,RESIDENTIALRENTED,TenementMuzigo,2250000,1755000,105300,2337.40
P117003351,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,WALL,RENTED,91.33,RESIDENTIALRENTED,TenementMuzigo,4500000,3510000,210600,2305.92
P117003352,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,NONE,WALL,RENTED,85.31,RESIDENTIALRENTED,Mainbuilding,5194950,3636464.83,218187.8898,2557.59
P117003353,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,NONE,WALL,RENTED,1475.54,COMMERCIAL,Office_Space,45896205.71,32127344,1927640.64,1306.40
P117003354,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,856.8,INSTITUTIONAL,Mda,40114285.71,28080000,1684800,1966.39
P117003355,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,856.8,RESIDENTIALRENTED,Apartment,36000000,28080000,1684800,1966.39
P117003356,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,856.8,RESIDENTIALRENTED,Apartment,36000000,28080000,1684800,1966.39
P117003357,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,128.02,RESIDENTIALRENTED,TenementMuzigo,9000000,7020000,421200,3290.11
P117003358,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,49.5,RESIDENTIALRENTED,TenementMuzigo,3600000,2808000,168480,3403.64
P117003359,Main Road,HIGH CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,19.24,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,4378.38
P117003360,Main Road,HIGH CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,22.62,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,3724.14
P117003363,Main Road,HIGH CLASS,GOOD,BRICKS,ROUGH CAST,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,349.51,RESIDENTIALRENTED,Mainbuilding,67500000,52650000,3159000,9038.37
P117003364,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,50.43,RESIDENTIALRENTED,Outbuilding,18000000,14040000,842400,16704.34
P117003365,Main Road,HIGH CLASS,GOOD,BRICKS,CLAY BRICKS,CERAMIC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,47.75,RESIDENTIALRENTED,Outbuilding,13500000,10530000,631800,13231.41
P117003366,Main Road,MIDDLE CLASS,GOOD,METALLIC SHEETING,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,303.5,COMMERCIAL,Office_Space,41606208.57,29124346,1747460.76,5757.70
P117003367,Main Road,MIDDLE CLASS,GOOD,METALLIC SHEETING,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,75.5,COMMERCIAL,Office_Space,9056376,6339463,380367.78,5037.98
P117003368,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,89.45,RESIDENTIALRENTED,TenementMuzigo,8910000,6949800,416988,4661.69
P117003369,Side Road,SLUM,POOR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,30.01,RESIDENTIALRENTED,TenementMuzigo,1260000,982800,58968,1964.95
P117003381,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,153.63,RESIDENTIALRENTED,TenementMuzigo,5175000,4036500,242190,1576.45
P117003382,Side Road,SLUM,FAIR,TIMBER,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,70.35,COMMERCIAL,Kiosk,360000,280800,16848,239.49
P117003383,Side Road,SLUM,FAIR,TIMBER,UNPLASTERED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,79.4,COMMERCIAL,Workshop,2250000,1755000,105300,1326.20
P117003384,Side Road,SLUM,FAIR,BRICKS,PAINTED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,4,COMMERCIAL,Kiosk,450000,351000,21060,5265.00
P117003388,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,6,COMMERCIAL,Kiosk,540000,421200,25272,4212.00
P117003390,Main Road,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,62.87,RESIDENTIALRENTED,TenementMuzigo,5400000,4212000,252720,4019.72
P117003391,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,123.51,COMMERCIAL,Office_Space,21164160,14814912,888894.72,7196.95
P117003392,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,19.23,COMMERCIAL,Office_Space,1646341.429,1152439,69146.34,3595.75
P117003394,Side Road,SLUM,FAIR,BRICKS,PAINTED,NONE,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,39.48,COMMERCIAL,Stores,501428.5714,351000,21060,533.43
P117003402,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,1153.87,COMMERCIAL,Office_Space,117584181.4,82308927,4938535.62,4279.98
P117003405,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,78.93,RESIDENTIALRENTED,TenementMuzigo,5580000,4352400,261144,3308.55
P117003410,Footpath,SLUM,GOOD,BRICKS,PAINTED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,20.98,RESIDENTIALRENTED,TenementMuzigo,1260000,982800,58968,2810.68
P117003412,Main Road,SLUM,POOR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,264.49,RESIDENTIALRENTED,TenementMuzigo,7020000,5475600,328536,1242.15
P117003413,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,43.07,RESIDENTIALRENTED,TenementMuzigo,1260000,982800,58968,1369.12
P117003414,Main Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,20.84,RESIDENTIALRENTED,TenementMuzigo,1260000,982800,58968,2829.56
P117003415,Main Road,SLUM,FAIR,METALLIC SHEETING,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,9.03,COMMERCIAL,Kiosk,250714.2857,175500,10530,1166.11
P117003417,Main Road,SLUM,FAIR,METALLIC SHEETING,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,8.45,COMMERCIAL,Kiosk,250714.2857,175500,10530,1246.15
P117003419,Main Road,SLUM,FAIR,METALLIC SHEETING,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,NO,SECURITY GUARD,NONE,RENTED,5.05,COMMERCIAL,Kiosk,250714.2857,175500,10530,2085.15
P117003420,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CERAMIC TILES,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,180.87,COMMERCIAL,Retail_Space_Rear_Room,14040000,11232000,673920,3725.99
P117003421,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,100.08,RESIDENTIALRENTED,TenementMuzigo,7380000,5904000,354240,3539.57
P117003423,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,252.08,RESIDENTIALRENTED,TenementMuzigo,7200000,5616000,336960,1336.72
P117003424,Main Road,HIGH CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,121.8,COMMERCIAL,Workshop,2700000,2106000,126360,1037.44
P117003425,Main Road,HIGH CLASS,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,116.43,RESIDENTIALRENTED,Mainbuilding,2700000,2106000,126360,1085.29
P117003426,Main Road,HIGH CLASS,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,151.59,COMMERCIAL,Stores,5340000,4014000,240840,1588.76
P117003427,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLYWOOD,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,48.98,COMMERCIAL,Stores,6300000,4914000,294840,6019.60
P117003429,Restricted,MIDDLE CLASS,GOOD,BRICKS,ROUGH CAST,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,77.05,RESIDENTIALRENTED,Mainbuilding,5880000,4586400,275184,3571.50
P117003431,Footpath,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,23.1,RESIDENTIALRENTED,TenementMuzigo,1440000,1123200,67392,2917.40
P117003434,Footpath,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,24.92,RESIDENTIALRENTED,TenementMuzigo,1800000,1404000,84240,3380.42
P117003435,Footpath,SLUM,FAIR,BRICKS,UNPLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,6.41,RESIDENTIALRENTED,TenementMuzigo,720000,561600,33696,5256.79
P117003436,Footpath,SLUM,FAIR,BRICKS,CLAY BRICKS,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,100.08,RESIDENTIALRENTED,TenementMuzigo,9450000,6633900,398034,3977.16
P117003439,Footpath,SLUM,FAIR,BRICKS,PLASTERED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,108.73,RESIDENTIALRENTED,TenementMuzigo,6300000,4422600,265356,2440.50
P117003440,Side Road,SLUM,GOOD,METALLIC SHEETING,CLAY BRICKS,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,RAZOR WIRE,WALL,RENTED,337.61,RESIDENTIALRENTED,Apartment,13500000,10530000,631800,1871.39
P117003442,Footpath,SLUM,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,NO,NONE,WALL,RENTED,239.83,RESIDENTIALRENTED,TenementMuzigo,25200000,19656000,1179360,4917.48
P117003443,Footpath,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,NONE,NONE,HYDRO,PITLATRINE,NO,NONE,NONE,RENTED,28.42,RESIDENTIALRENTED,TenementMuzigo,1440000,1123200,67392,2371.29
P117003444,Footpath,SLUM,FAIR,BRICKS,UNPLASTERED,NONE,NONE,NONE,HYDRO,PITLATRINE,YES,NONE,NONE,RENTED,25.17,RESIDENTIALRENTED,TenementMuzigo,1890000,1474200,88452,3514.18
